O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM
O,64602,HLT,101,642,Introduction to Horticulture,4,MW,0100PM,0250PM,FLARMR,MP104 MP106,18,22-Jan-19,13-May-19,STAFF,
O,64602,HLT,101,642,Introduction to Horticulture,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,
O,64680,HLT,132,641,Sustainable Landscaping,3,TR,0100PM,0300PM,FLARMR,RP139,12,22-Jan-19,22-Apr-19,STAFF,
O,64680,HLT,132,641,Sustainable Landscaping,3,,,,FLARMR,ONLINE,,22-Jan-19,22-Apr-19,STAFF,
O,64603,HLT,160,601,Greenhouse Management,4,MW,0330PM,0600PM,FLARMR,MP104 MP106,16,22-Jan-19,13-May-19,STAFF,
O,64197,HLT,208,641,Pesticide Safety and Use,2,F,0800AM,1000AM,FLARMR,MP104 MP106,10,22-Jan-19,13-May-19,STAFF,
O,64197,HLT,208,641,Pesticide Safety and Use,2,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,
O,64198,HLT,221,601,Woody Plants: Trees & Conifers,3,MW,0800AM,1000AM,FLARMR,MP104 MP106,12,22-Jan-19,13-May-19,STAFF,
O,64655,HLT,224,601,Herbaceous Perennials,4,TR,1020AM,1220PM,FLARMR,BP152,12,22-Jan-19,13-May-19,STAFF,
O,64656,HLT,226,641,Interior Plants,2,TR,1015AM,1200PM,FLARMR,MP104 MP106,12,22-Jan-19,22-Apr-19 8-Apr-19,STAFF,
O,64656,HLT,226,641,Interior Plants,2,,,,FLARMR,ONLINE,,22-Jan-19,22-Apr-19,STAFF,
O,64604,HLT,230,641,Landscape Design II,3,MW,1245PM,0245PM,FLARMR,RP139,6,22-Jan-19,13-May-19,STAFF,
O,64604,HLT,230,641,Landscape Design II,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,
O,64199,HLT,237,641,Landscape Bidding & Estimating,2,MW,0400PM,0535PM,FLARMR,MP102,10,22-Jan-19,22-Apr-19,STAFF,
O,64199,HLT,237,641,Landscape Bidding & Estimating,2,,,,FLARMR,ONLINE,,22-Jan-19,22-Apr-19,STAFF,
O,64605,HLT,240,641,Introductory Soil Science,4,TR,0800AM,1000AM,FLARMR,MP104 MP106,18,22-Jan-19,13-May-19,STAFF,
O,64605,HLT,240,641,Introductory Soil Science,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,
O,6XXXX,HLT,262,641,Urban Farm Management,4,R,0310PM,0540PM,FLARMR,MP106,8,22-Jan-19,13-May-19 22-Apr-19,STAFF,
O,64276,NRE,100,601,Foundations of Forestry,3,TR,1030AM,1200PM,FLARMR,BP168,202,22-Jan-19,13-May-19,STAFF,
O,60922,NRE,100,641,Foundations of Forestry,3,R,0230PM,0430PM,FLARMR,BP152,20,22-Jan-19,13-May-19,STAFF,
O,60922,NRE,100,641,Foundations of Forestry,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,
O,64657,NRE,114,601,Colorado Wildlife,3,M,0110PM,0200PM,FLARMR,BP158,20,22-Jan-19,13-May-19,STAFF,
O,64657,NRE,114,601,Colorado Wildlife,3,W,0110PM,0310PM,FLARMR,BP158,,22-Jan-19,13-May-19,STAFF,
O,60923,NRE,205,601,Wildlife/Fisheries Mgmt,3,WF,1030AM,1200PM,FLARMR,BP168,20,22-Jan-19,13-May-19,STAFF,
O,64200,NRE,205,641,Wildlife/Fisheries Mgmt,3,F,0100PM,0300PM,FLARMR,BP152,20,22-Jan-19,13-May-19,STAFF,
O,64200,NRE,205,641,Wildlife/Fisheries Mgmt,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,
O,60974,NRE,215,601,Fire Ecology,3,T,0930AM,1230PM,FLARMR,BP158,20,22-Jan-19,13-May-19,STAFF,
O,64830,NRE,220,601,Forest Harvesting,2,F,1000AM,1200PM,FLARMR,BP152,12,22-Jan-19,8-Apr-19,STAFF,
O,61934,NRE,225,601,Environmental Education,3,W,0920AM,1150AM,FLARMR,BP158,20,22-Jan-19,13-May-19,STAFF,
O,63433,NRE,230,601,Wildlife Law Enforcement,3,M,0300PM,0530PM,FLARMR,BP168,20,22-Jan-19,13-May-19,STAFF,
O,60975,NRE,245,641,Avian Conservation/Ornithology,3,F,0800AM,1000AM,FLARMR,BP158,20,22-Jan-19,13-May-19,STAFF,
O,60975,NRE,245,641,Avian Conservation/Ornithology,3,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,
O,64418,NRE,280,601,Internship,1,,,,FLARMR,TBA,10,22-Jan-19,13-May-19,STAFF,
O,64419,NRE,280,602,Internship,2,,,,FLARMR,TBA,10,22-Jan-19,13-May-19,STAFF,
O,64420,NRE,280,603,Internship,3,,,,FLARMR,TBA,10,22-Jan-19,13-May-19,STAFF,
O,64421,NRE,280,604,Internship,4,,,,FLARMR,TBA,10,22-Jan-19,13-May-19,STAFF,
O,64422,NRE,280,605,Internship,5,,,,FLARMR,TBA,10,22-Jan-19,13-May-19,STAFF,
O,64423,NRE,280,606,Internship,6,,,,FLARMR,TBA,10,22-Jan-19,13-May-19,STAFF,
O,64424,NRE,280,607,Internship,1,,,,FLARMR,TBA,10,26-Feb-19,13-May-19,STAFF,
O,64425,NRE,280,608,Internship,2,,,,FLARMR,TBA,10,26-Feb-19,13-May-19,STAFF,
O,64426,NRE,280,609,Internship,3,,,,FLARMR,TBA,10,26-Feb-19,13-May-19,STAFF,
O,63180,OUT,151,601,Snowshoeing,1,W,0530PM,0830PM,FLARMR,SP218,18,1-Oct-18,17-Jun-19,STAFF,
O,63180,OUT,151,601,Snowshoeing,1,S,0800AM,0500PM,FLARMR,FIELD,,1-Oct-18,17-Jun-19,STAFF,
O,63444,OUT,158,601,Survival Plants in Spring I,2,R,0500PM,0600PM,FLARMR,BP158,16,1-Oct-18,17-Jun-19,STAFF,
O,63444,OUT,158,601,Survival Plants in Spring I,2,US,0800AM,0500PM,FLARMR,FIELD,,1-Oct-18,17-Jun-19,STAFF,
O,63677,OUT,158,602,Survival Plants in Spring I,2,R,0500PM,0600PM,FLARMR,BP158,16,1-Oct-18,17-Jun-19,STAFF,
O,63677,OUT,158,602,Survival Plants in Spring I,2,US,0800AM,0500PM,FLARMR,FIELD,,1-Oct-18,17-Jun-19,STAFF,
C,64606,OUT,175,601,ST: Survival Fire Building,1,,,,FLARMR,TBA,10,1-Oct-18,17-Jun-19,STAFF,
O,62979,OUT,201,601,Scuba Diving,1,W,0600PM,0900PM,FLARMR,MA201,8,22-Jan-19,11-Mar-19,STAFF,
O,62979,OUT,201,601,Scuba Diving,1,MW,0600PM,0900PM,FLARMR,FIELD,,22-Jan-19,11-Mar-19,STAFF,
O,64607,OUT,201,602,Scuba Diving,1,M,0600PM,0900PM,FLARMR,MA201,8,11-Mar-19,13-May-19,STAFF,
O,64607,OUT,201,602,Scuba Diving,1,MW,0600PM,0900PM,FLARMR,FIELD,,11-Mar-19,13-May-19,STAFF,
O,63890,OUT,202,601,Open Water Diver,1,W,0600PM,0700PM,FLARMR,MA201,8,22-Jan-19,11-Mar-19,STAFF,
O,63890,OUT,202,601,Open Water Diver,1,US,0800AM,0600PM,FLARMR,FIELD,,22-Jan-19,11-Mar-19,STAFF,
O,64920,REC,210,601,Principles Outdoor Recreation,3,R,1230PM,0330PM,FLARMR,BP158,20,22-Jan-19,13-May-19,STAFF,
O,64201,VET,106,601,Exotic Animal Handling,2,F,0100PM,0150PM,FLARMR,BP188,24,22-Jan-19,13-May-19,STAFF,
O,64201,VET,106,601,Exotic Animal Handling,2,F,0200PM,0350PM,FLARMR,BP188,,22-Jan-19,13-May-19,STAFF,
O,60930,VET,108,641,Intro to Laboratory Procedures,3,M,,,FLARMR,ONLINE,12,22-Jan-19,13-May-19,Mugge,Stacy
O,60930,VET,108,641,Intro to Laboratory Procedures,3,F,0800AM,0850AM,FLARMR,SP107,,22-Jan-19,13-May-19,Mugge,Stacy
O,60930,VET,108,641,Intro to Laboratory Procedures,3,F,0900AM,1050AM,FLARMR,SP107,,22-Jan-19,13-May-19,Mugge,Stacy
O,60931,VET,108,642,Intro to Laboratory Procedures,3,M,,,FLARMR,ONLINE,12,22-Jan-19,13-May-19,Mugge,Stacy
O,60931,VET,108,642,Intro to Laboratory Procedures,3,F,0800AM,0850AM,FLARMR,SP107,,22-Jan-19,13-May-19,Mugge,Stacy
O,60931,VET,108,642,Intro to Laboratory Procedures,3,F,1100AM,1250PM,FLARMR,SP107,,22-Jan-19,13-May-19,Mugge,Stacy
,,VET,113,601,Vet Assist Surg & Nursing Care,3,M,0245PM,0350PM,FLARMR,BP162,11,,,,
,,VET,113,601,Vet Assist Surg & Nursing Care,3,M,0400PM,0500PM,FLARMR,BP162,,,,,
O,65166,VET,113,601,Vet Assist Surg & Nursing Care,3,T,0245PM,0500PM,FLARMR,BP162,,22-Jan-19,23-Apr-19,Schwarz,Sarah
O,65167,VET,114,601,Vet Assist Lab&Clin Procedures,3,T,0510PM,0635PM,FLARMR,SP107,11,22-Jan-19,23-Apr-19,Croak,Constance
O,65167,VET,114,601,Vet Assist Lab&Clin Procedures,3,W,0320PM,0410PM,FLARMR,SP107,,22-Jan-19,23-Apr-19,Croak,Constance
O,65167,VET,114,601,Vet Assist Lab&Clin Procedures,3,W,0420PM,0635PM,FLARMR,SP107,,22-Jan-19,23-Apr-19,Croak,Constance
O,60932,VET,115,601,Surgical Nursing,2,F,0800AM,0850AM,FLARMR,BP188,11,22-Jan-19,13-May-19,Trent,Kara
O,60932,VET,115,601,Surgical Nursing,2,F,0900AM,1050AM,FLARMR,BP188,,22-Jan-19,13-May-19,Trent,Kara
O,60933,VET,115,602,Surgical Nursing,2,F,0800AM,0850AM,FLARMR,BP188,11,22-Jan-19,13-May-19,Trent,Kara
O,60933,VET,115,602,Surgical Nursing,2,F,1100AM,1250PM,FLARMR,BP188,,22-Jan-19,13-May-19,Trent,Kara
O,60934,VET,116,601,Humane Treatment/Handling,3,TR,0800AM,0950AM,FLARMR,BP188,12,22-Jan-19,13-May-19,STAFF,
O,60934,VET,116,601,Humane Treatment/Handling,3,R,0100PM,0150PM,FLARMR,BP188,,22-Jan-19,13-May-19,STAFF,
O,60935,VET,116,602,Humane Treatment/Handling,3,TR,1000AM,1150AM,FLARMR,BP188,12,22-Jan-19,13-May-19,STAFF,
O,60935,VET,116,602,Humane Treatment/Handling,3,R,0100PM,0150PM,FLARMR,BP162 BP188,,22-Jan-19,13-May-19,STAFF,
O,63168,VET,120,641,Office Procedures & Relations,2,T,0310PM,0400PM,FLARMR,BP152,12,22-Jan-19,13-May-19,Croak,Constance
O,63168,VET,120,641,Office Procedures & Relations,2,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,Croak,Constance
O,62504,VET,120,642,Office Procedures & Relations,2,T,0410PM,0500PM,FLARMR,BP152,12,22-Jan-19,13-May-19,Croak,Constance
O,62504,VET,120,642,Office Procedures & Relations,2,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,Croak,Constance
O,64456,VET,134,701,Diagnostic Imaging,2,T,0600PM,0650PM,FLCSU,CSUVTH,12,22-Jan-19,13-May-19,Kluza,Ashley
O,64456,VET,134,701,Diagnostic Imaging,2,T,0700PM,0850PM,FLCSU,CSUVTH,,22-Jan-19,13-May-19,Kluza,Ashley
O,60977,VET,134,702,Diagnostic Imaging,2,R,0600PM,0650PM,FLCSU,CSUVTH,12,22-Jan-19,13-May-19,Denard,Nicole
O,60977,VET,134,702,Diagnostic Imaging,2,R,0700PM,0850PM,FLCSU,CSUVTH,,22-Jan-19,13-May-19,Denard,Nicole
C,64202,VET,180,601,Internship,2 3,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64951,VET,180,602,Internship: Private Practice,3,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,,
O,64277,VET,183,601,Internship: Veterinary Asst,1.5 2.25,,,,FLARMR,TBA,8,22-Jan-19,13-May-19,Schmidt,Kimberly
O,60978,VET,205,601,Vet Anatomy/Physiology I,4,M,0930AM,1045AM,FLARMR,SP107,12,22-Jan-19,13-May-19,Lombard,Gwen
O,60978,VET,205,601,Vet Anatomy/Physiology I,4,W,0900AM,1015AM,FLARMR,SP107,,22-Jan-19,13-May-19,Lombard,Gwen
O,60978,VET,205,601,Vet Anatomy/Physiology I,4,W,1100AM,1250PM,FLARMR,SP107,,22-Jan-19,13-May-19,Lombard,Gwen
O,60979,VET,205,602,Vet Anatomy/Physiology I,4,M,0930AM,1045AM,FLARMR,SP107,12,22-Jan-19,13-May-19,Lombard,Gwen
O,60979,VET,205,602,Vet Anatomy/Physiology I,4,W,0900AM,1015AM,FLARMR,SP107,,22-Jan-19,13-May-19,Lombard,Gwen
O,60979,VET,205,602,Vet Anatomy/Physiology I,4,W,0100PM,0250PM,FLARMR,SP107,,22-Jan-19,13-May-19,Lombard,Gwen
O,60980,VET,206,601,Vet Anatomy/Physiology II,4,TR,0800AM,0915AM,FLARMR,BP158,11,22-Jan-19,13-May-19,Lombard,Gwen
O,60980,VET,206,601,Vet Anatomy/Physiology II,4,T,1110AM,0100PM,FLARMR,SP107,,22-Jan-19,13-May-19,Lombard,Gwen
O,60981,VET,206,602,Vet Anatomy/Physiology II,4,TR,0800AM,0915AM,FLARMR,BP158,11,22-Jan-19,13-May-19,Lombard,Gwen
O,60981,VET,206,602,Vet Anatomy/Physiology II,4,T,0110PM,0300PM,FLARMR,SP107,,22-Jan-19,13-May-19,Lombard,Gwen
O,60982,VET,224,601 641,Pharmacology-Veterinary Tech,3,M TR,0900AM 1010AM,1050AM 1100AM,FLARMR,BP188 BP162,24,22-Jan-19,13-May-19,Bauer,Elizabeth
O,60982,VET,224,601 641,Pharmacology-Veterinary Tech,3,TR,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,Bauer,Elizabeth
O,60983,VET,225,601,Anesthesiology,3,M,1100AM,1150AM,FLARMR,BP188,10,22-Jan-19,13-May-19,Lombard,Gwen
O,60983,VET,225,601,Anesthesiology,3,M,0100PM,0250PM,FLARMR,BP188,,22-Jan-19,13-May-19,Schmidt,Kimberly
O,60983,VET,225,601,Anesthesiology,3,W,0800AM,0850AM,FLARMR,SP107,,22-Jan-19,13-May-19,Lombard,Gwen
O,60984,VET,225,602,Anesthesiology,3,M,1100AM,1150AM,FLARMR,BP188,10,22-Jan-19,13-May-19,Lombard,Gwen
O,60984,VET,225,602,Anesthesiology,3,M,0300PM,0450PM,FLARMR,BP188,,22-Jan-19,13-May-19,Schmidt,Kimberly
O,60984,VET,225,602,Anesthesiology,3,W,0800AM,0850AM,FLARMR,SP107,,22-Jan-19,13-May-19,Lombard,Gwen
O,60985,VET,227,641,Animal Nutrition,2,W,0230PM,0420PM,FLARMR,BP188,24,22-Jan-19,13-May-19,STAFF,
O,60985,VET,227,641,Animal Nutrition,2,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,
O,64894,VET,238,601,Small Animal Nursing,2,W,0900AM,0950AM,FLARMR,BP188,9,22-Jan-19,13-May-19,Whitney,Elizabeth
O,64894,VET,238,601,Small Animal Nursing,2,W,1020AM,1210PM,FLARMR,BP188,,22-Jan-19,13-May-19,Whitney,Elizabeth
O,64895,VET,238,602,Small Animal Nursing,2,W,0900AM,0950AM,FLARMR,BP188,9,22-Jan-19,13-May-19,Whitney,Elizabeth
O,64895,VET,238,602,Small Animal Nursing,2,W,1230PM,0220PM,FLARMR,BP188,,22-Jan-19,13-May-19,Whitney,Elizabeth
O,64896,VET,239,601,Large Animal Nursing,2,T,1110AM,1200PM,FLARMR,BP162,10,22-Jan-19,13-May-19,Mugge,Stacy
O,64896,VET,239,601,Large Animal Nursing,2,T,0100PM,0250PM,FLARMR,BP188,,22-Jan-19,13-May-19,Mugge,Stacy
O,64897,VET,239,602,Large Animal Nursing,2,T,1110AM,1200PM,FLARMR,BP162,10,22-Jan-19,13-May-19,Mugge,Stacy
O,64897,VET,239,602,Large Animal Nursing,2,T,0300PM,0450PM,FLARMR,BP188,,22-Jan-19,13-May-19,Mugge,Stacy
O,60988,VET,241,601,Clinical Laboratory Procedures,4,M,1100AM,1150AM,FLARMR,BP162,11 12,22-Jan-19,13-May-19,Mugge,Stacy
O,60988,VET,241,601,Clinical Laboratory Procedures,4,R,1110AM,1200PM,FLARMR,SP107,,22-Jan-19,13-May-19,Mugge,Stacy
O,60988,VET,241,601,Clinical Laboratory Procedures,4,MR,0100PM,0250PM,FLARMR,SP107,,22-Jan-19,13-May-19,Mugge,Stacy
O,60991,VET,241,602,Clinical Laboratory Procedures,4,M,1100AM,1150AM,FLARMR,BP162,11 12,22-Jan-19,13-May-19,Mugge,Stacy
O,60991,VET,241,602,Clinical Laboratory Procedures,4,R,1110AM,1200PM,FLARMR,SP107,,22-Jan-19,13-May-19,Mugge,Stacy
O,60991,VET,241,602,Clinical Laboratory Procedures,4,MR,0300PM,0450PM,FLARMR,SP107,,22-Jan-19,13-May-19,Mugge,Stacy
O,62349,VET,242,601,Veterinary Critical Care,2,R,0300PM,0450PM,FLARMR,BP188,8 9,22-Jan-19,13-May-19,Bolte,Denise
O,60993,VET,243,601,Veterinary Diagnostic Microbio,3,TR,0800AM,0950AM,FLARMR,SP107,24,22-Jan-19,13-May-19,Bolte,Denise
O,61004,VET,250,601,Clinical Competency Evaluation,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,65168,VET,280,601,Internship: Anesthesia,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64659,VET,280,602,Internship:Immediate Care,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64660,VET,280,603,Internship: Diagnostic Imaging,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64661,VET,280,604,Internship: Clinical Pathology,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64662,VET,280,605,Internship: Necropsy,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64663,VET,280,606,Internship:Sm.Animal Surgery,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64664,VET,280,607,Internship: Dentistry,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64665,VET,280,610,Internship:Community Practice,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64666,VET,280,611,Internship: Equine Med/Surg,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64667,VET,280,612,Internship: Cardio Specialty,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64668,VET,280,613,Internship: Dermatology,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64669,VET,280,614,Internship: Equine Ambulatory,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64670,VET,280,615,Internship:Livestock Field Ser,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64671,VET,280,616,Internship:Exotics Med/Surg,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64672,VET,280,617,Internship: Oncology Spec,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64673,VET,280,618,Internship: Ophthalmology,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64674,VET,280,619,Internship: Rehabilitation,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
O,64675,VET,280,620,Internship: Critical Care,1,,,,FLARMR,TBA,24,22-Jan-19,13-May-19,Schmidt,Kimberly
