O/C,CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,LST NM,FST NM,COURSE NOTES
O,64911,BIO,111,607,Gen College Biology I/Lab: SC1,5,MTW,0500PM,0650PM,FLARMR,SP122,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   NOTE:  The labs are included in the days and times listed.  They are NOT TBA.   Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094 "
O,60854,BIO,111,641,Gen College Biology I/Lab: SC1,5,R,0900AM,1120AM,FLARMR,SP122,24,22-Jan-19,13-May-19,STAFF,,"Note: This course is a Hybrid section (Combined online/classroom instruction)  Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   The labs are included in the days and times listed.  They are NOT TBA. <br> Note: This section is a Hybrid, combined online/classroom instruction.Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094 "
O,60854,BIO,111,641,Gen College Biology I/Lab: SC1,5,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,,"Note: This course is a Hybrid section (Combined online/classroom instruction)  Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   The labs are included in the days and times listed.  They are NOT TBA. <br> Note: This section is a Hybrid, combined online/classroom instruction.Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094 "
O,60858,BIO,111,642,Gen College Biology I/Lab: SC1,5,R,1130AM,0150PM,FLARMR,SP122,24,22-Jan-19,13-May-19,STAFF,,"Note: This course is a Hybrid section (Combined online/classroom instruction)  Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   The labs are included in the days and times listed.  They are NOT TBA. <br> Note: This section is a Hybrid, combined online/classroom instruction.Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094 "
O,60858,BIO,111,642,Gen College Biology I/Lab: SC1,5,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,,"Note: This course is a Hybrid section (Combined online/classroom instruction)  Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   The labs are included in the days and times listed.  They are NOT TBA. <br> Note: This section is a Hybrid, combined online/classroom instruction.Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094 "
O,65162,BIO,111,801,Gen College Biology I/Lab: SC1,5,MW,0900AM,1050AM,FLPROS,PR4,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   NOTE:  The labs are included in the days and times listed.  They are NOT TBA.   Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
O,65162,BIO,111,801,Gen College Biology I/Lab: SC1,5,F,0900AM,1050AM,FLARMR,SP116,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   NOTE:  The labs are included in the days and times listed.  They are NOT TBA.   Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
O,65163,BIO,111,802,Gen College Biology I/Lab: SC1,5,MW,1100AM,1250PM,FLPROS,PR4,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   NOTE:  The labs are included in the days and times listed.  They are NOT TBA.   Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
O,65163,BIO,111,802,Gen College Biology I/Lab: SC1,5,F,1100AM,1250PM,FLARMR,SP116,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.   NOTE:  The labs are included in the days and times listed.  They are NOT TBA.   Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094"
O,62561,BIO,112,601,Gen College Biology II/Lab:SC1,5,MTW,0200PM,0350PM,FLARMR,SP122,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  NOTE:  The labs are included in the days and times listed.  They are NOT TBA.  <br>  Prerequisite: BIO 111 or a passing grade on the science placement test AND  {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094.} "
O,63146,BIO,112,63W,Gen College Biology II/Lab:SC1,5,MTW,1200PM,0150PM,FLARMR,SP122,24,22-Jan-19,13-May-19,STAFF,,"Note: CONGRATULATIONS! You have found one of our fantastic Learning Communities. To offer students a more comprehensive educational experience, this course is paired with ENG 122-63W and our students think it’s great! In order to take this Learning Community, students need to register for both classes. Here is a link to our web page: http://www.frontrange.edu/Current-Students/Learning-Resources-and-Support-Programs/Learning-Communities/Larimer.aspx Prerequisite: ENG 121 with a grade of C or better"
O,60860,BIO,201,601,Human Anatomy&Phys w/Lab I:SC1,4,MW,0900AM 0830AM,1140AM 1110AM,FLARMR,SP110,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the first semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note: The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requisite or Prerequisite: ENG 121 or ENG 122  "
O,60861,BIO,201,602,Human Anatomy&Phys w/Lab I:SC1,4,MW MWF,1230PM 1240PM,0310PM 0240PM,FLARMR,SP110,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the first semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note: The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requisite or Prerequisite: ENG 121 or ENG 122   "
O,61694,BIO,201,603,Human Anatomy&Phys w/Lab I:SC1,4,MW MWF,0330PM 0250PM,0610PM 0450PM,FLARMR,SP110,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the first semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note: The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requisite or Prerequisite: ENG 121 or ENG 122  "
O,61695,BIO,201,604,Human Anatomy&Phys w/Lab I:SC1,4,TR MW,0900AM 0630PM,1140AM 0910PM,FLARMR,SP110,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the first semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note: The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requisite or Prerequisite: ENG 121 or ENG 122  "
O,62341,BIO,201,605,Human Anatomy&Phys w/Lab I:SC1,4,TR,0630PM 0830AM,0910PM 1110AM,FLARMR,SP110,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the first semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note: The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requisite or Prerequisite: ENG 121 or ENG 122  "
O,63470,BIO,201,606,Human Anatomy&Phys w/Lab I:SC1,4,TR,0330PM 0230PM,0610PM 0510PM,FLARMR,SP110,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the first semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note: The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requisite or Prerequisite: ENG 121 or ENG 122  "
O,63471,BIO,201,607,Human Anatomy&Phys w/Lab I:SC1,4,F TR,0600PM 0530PM,0840PM 0810PM,FLARMR,SP110,24,25-Jan-19,12-May-19,STAFF,,"Note: This is the first semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note: The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requisite or Prerequisite: ENG 121 or ENG 122  "
O,63471,BIO,201,607,Human Anatomy&Phys w/Lab I:SC1,4,S,1000AM,1240PM,FLARMR,SP110,24,25-Jan-19,12-May-19,STAFF,,"Note: This is the first semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note: The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requisite or Prerequisite: ENG 121 or ENG 122  "
O,64000,BIO,201,608,Human Anatomy&Phys w/Lab I:SC1,4,MW,0630PM,0910PM,FLARMR,SP110,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the first semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note: The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requisite or Prerequisite: ENG 121 or ENG 122  "
O,62342,BIO,201,63A,Human Anatomy&Phys w/Lab I:SC1,4,TR,1230PM 1130AM,0310PM 0210PM,FLARMR,SP110,24,22-Jan-19,11-Mar-19,STAFF,,Note: Section 63A is a paired accelerated hybrid course.  Student must enroll in both BIO 201 63A and BIO 202 63A.  Students must pass BIO 201 with a grade of C or better in order to remain enrolled in the corresponding BIO 202 section. For more information contact Heidi Smith at 970-204-8611.  <br>  Prerequisite or Co-requisite: ENG 121 or ENG 122 
O,60862,BIO,201,641,Human Anatomy&Phys w/Lab I:SC1,4,F,0900AM 0830AM,1140AM 1110AM,FLARMR,SP110,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the first semester of a two-semester sequence. This section is a hybrid, combined online/classroom instruction. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note: The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requisite or Prerequisite: ENG 121 or ENG 122  "
O,60862,BIO,201,641,Human Anatomy&Phys w/Lab I:SC1,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,,"Note: This is the first semester of a two-semester sequence. This section is a hybrid, combined online/classroom instruction. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note: The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requisite or Prerequisite: ENG 121 or ENG 122  "
O,60863,BIO,202,601,Human Anatomy&Phys II/Lab :SC1,4,TR MW,0900AM 0830AM,1140AM 1110AM,FLARMR,SP104,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the second semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note:The labs are included in the days and times listed.  They are NOT TBA.  <br>   Prerequisite: BIO 201 AND  {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}  "
O,60864,BIO,202,602,Human Anatomy&Phys II/Lab :SC1,4,MW MWF,1230PM 1120AM,0310PM 0120PM,FLARMR,SP104,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the second semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note:The labs are included in the days and times listed.  They are NOT TBA.  <br>   Prerequisite: BIO 201 AND <br> {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}  "
O,61624,BIO,202,603,Human Anatomy&Phys II/Lab :SC1,4,TR MWF,0330PM 0130PM,0610PM 0330PM,FLARMR,SP104,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the second semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note:The labs are included in the days and times listed.  They are NOT TBA.  <br>   Prerequisite: BIO 201 AND <br> {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}  "
O,61805,BIO,202,604,Human Anatomy&Phys II/Lab :SC1,4,TR MW,0630PM 0600PM,0910PM 0840PM,FLARMR,SP104,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the second semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note:The labs are included in the days and times listed.  They are NOT TBA.  <br>   Prerequisite: BIO 201 AND {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}  "
O,64207,BIO,202,605,Human Anatomy&Phys II/Lab :SC1,4,MW TR,0900AM 0830AM,1140AM 1110AM,FLARMR,SP104,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the second semester of a two-semester sequence. For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note:The labs are included in the days and times listed.  They are NOT TBA.  <br>   Prerequisite: BIO 201 AND {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}   "
O,63472,BIO,202,63A,Human Anatomy&Phys II/Lab :SC1,4,TR,1230PM 1130AM,0310PM 0210PM,FLARMR,SP104,24,19-Mar-19,13-May-19,STAFF,,"Note: Section 63A is a paired accelerated hybrid course.  Student must enroll in both BIO 201 63A and BIO 202 63A.  For more information contact Heidi Smith at 970-204-8611.  <br>  Co-requisite: BIO 201 AND Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094 "
O,60892,BIO,202,641,Human Anatomy&Phys II/Lab :SC1,4,F,1200PM 0830AM,0240PM 1110AM,FLARMR,SP104,24,22-Jan-19,13-May-19,STAFF,,"Note: This is the second semester of a two-semester sequence. This section is a Hybrid class (Combined online/classroom instruction) For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note:  The labs are included in the days and times listed.  They are NOT TBA. <br>   Prerequisite: BIO 201 AND {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}   "
O,60892,BIO,202,641,Human Anatomy&Phys II/Lab :SC1,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,STAFF,,"Note: This is the second semester of a two-semester sequence. This section is a Hybrid class (Combined online/classroom instruction) For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note:  The labs are included in the days and times listed.  They are NOT TBA. <br>   Prerequisite: BIO 201 AND {Prerequisite or Co-requisite: CCR 092, CCR 093, or CCR 094}   "
O,62343,BIO,203,601,Advanced Human Anatomy,2,T,1100AM 1200PM,0300PM 0400PM,FLARMR,SP106,4,22-Jan-19,13-May-19,STAFF,,Note:  For more information contact Heidi Smith at 970-204-8611. <br>  Prerequisites:  Grade of A or B in BIO 201 and BIO 202 
O,62427,BIO,203,602,Advanced Human Anatomy,2,F,0900AM,0100PM,FLARMR,SP106,4,22-Jan-19,13-May-19,STAFF,,Note:  For more information contact Heidi Smith at 970-204-8611. <br>  Prerequisites:  Grade of A or B in BIO 201 and BIO 202 
O,60893,BIO,204,601,Microbiology w/Lab: SC1,4,TR,0900AM,1140AM,FLARMR,SP125,24,22-Jan-19,13-May-19,Smith,Heidi,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 202, 202, 204, 216.  Note:  The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requsite or Prerequisite: ENG 121 or ENG 122   "
O,60894,BIO,204,602,Microbiology w/Lab: SC1,4,TR,1200PM,0240PM,FLARMR,SP125,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 202, 202, 204, 216.  Note:  The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requsite or Prerequisite: ENG 121 or ENG 122   "
O,62346,BIO,204,603,Microbiology w/Lab: SC1,4,TR,0300PM,0540PM,FLARMR,SP125,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 202, 202, 204, 216.  Note:  The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requsite or Prerequisite: ENG 121 or ENG 122   "
O,63334,BIO,204,604,Microbiology w/Lab: SC1,4,TR,0600PM,0840PM,FLARMR,SP125,24,22-Jan-19,13-May-19,STAFF,,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 202, 202, 204, 216.  Note:  The labs are included in the days and times listed.  They are NOT TBA.  <br>  Co-requsite or Prerequisite: ENG 121 or ENG 122   "
O,61806,BIO,204,641,Microbiology w/Lab: SC1,4,W,1200PM,0250PM,FLARMR,SP125,24,22-Jan-19,13-May-19,Smith,Heidi,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note:  The labs are included in the days and times listed.  They are NOT TBA. This is a hybrid section (Combined Online/Classroom instruction)  <br>  Co-requsite or Prerequisite: ENG 121 or ENG 122   "
O,61806,BIO,204,641,Microbiology w/Lab: SC1,4,,,,FLARMR,ONLINE,,22-Jan-19,13-May-19,Smith,Heidi,"Note: For Information on BIO classes contact: Chris Romero, 970-204-8664 or Jim Choun, 970-204-8178 for BIO 105, 111, 112, 115, 221, 222, 275; Heidi Smith, 970-204-8611 for BIO 106, 201, 202, 204, 216.  Note:  The labs are included in the days and times listed.  They are NOT TBA. This is a hybrid section (Combined Online/Classroom instruction)  <br>  Co-requsite or Prerequisite: ENG 121 or ENG 122   "
