CRN,PREF,CRS,SECT,TITLE,CR,DAYS,ST TM,END TM,BLDG,ROOM,CAP,ST DT,END DT,CENSUS,WITHD,LST NM,FST NM,COURSE NOTES
64584,PSY,101,612,General Psychology I: SS3,3,TR,0930AM,1110AM,FLARMR,,30,12+AC0-Feb+AC0-19,13+AC0-May+AC0-19,24+AC0-Feb+AC0-19,24+AC0-Apr+AC0-19,STAFF,,
60823,PSY,102,601,General Psychology II : SS3,3,MWF,1100AM,1150AM,FLARMR,,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
62750,PSY,102,602,General Psychology II : SS3,3,TR,1125AM,1240PM,FLARMR,CP121,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
,PSY,102,602,General Psychology II : SS3,3,MW,0100PM,0215PM,FLARMR,,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
60824,PSY,102,63U,General Psychology II : SS3,3,TR,0225PM,0340PM,FLARMR,CP221,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
64310,PSY,200,601,Research Methodology,4,TR,1000AM,1150AM,FLARMR,CP228,24,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
60825,PSY,217,601,Human Sexuality: GT+AC0-SS3,3,MWF,1000AM,1050AM,FLARMR,,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
65074,PSY,226,601,Social Psychology,3,MW,0225PM,0340PM,FLARMR,,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
60826,PSY,235,601,Human Growth +ACY- Developmnt: SS3,3,MWF,0900AM,0950AM,FLARMR,CP120,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
63474,PSY,235,602,Human Growth +ACY- Developmnt: SS3,3,MW,0100PM,0215PM,FLARMR,,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
62365,PSY,235,603,Human Growth +ACY- Developmnt: SS3,3,TR,0835AM,0950AM,FLARMR,,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
62133,PSY,235,604,Human Growth +ACY- Developmnt: SS3,3,TR,1125AM,1240PM,FLARMR,,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
62528,PSY,235,605,Human Growth +ACY- Developmnt: SS3,3,F,0930AM,1115AM,FLARMR,,30,8+AC0-Feb+AC0-19,10+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
60827,PSY,235,606,Human Growth +ACY- Developmnt: SS3,3,TR,0530PM,0645PM,FLARMR,,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
63841,PSY,238,601,Child Development: SS3,3,TR,1000AM,1115AM,FLARMR,CP121,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
63475,PSY,249,601,Abnormal Psychology: SS3,3,TR,0100PM,0215PM,FLARMR,CP120,30,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
62751,PSY,258,601,Intro to Neuropsychology,3,MW,0100PM,0215PM,FLARMR,CP228,24,22+AC0-Jan+AC0-19,13+AC0-May+AC0-19,6+AC0-Feb+AC0-19,20+AC0-Apr+AC0-19,STAFF,,
